Date,PropertyStatus,SellingPrice,MonthlyRentPrice,CostPrice,PropertyType,SalesPersonID,Location,AgentName,CommissionRate,CommissionEarned,ClientID,PropertyID,MarketingChannel,FeedbackRating,LeadSource,FinancingType,PropertyCondition
2023-12-22,Rent,,26233.0,3505993,Condo,2,Delhi,Agent 3,2.88,284228.24,28078,38243,Print advertising,2,Referral,Down Payment Plan,Good
2022-05-25,Sale,6651832.0,,11962844,Condo,7,Mumbai,Agent 4,2.58,230671.1,23724,14374,Email marketing,1,Referral,CLP,New
2020-03-05,Rent,,12396.0,3158282,Condo,10,Hyderabad,Agent 6,2.97,225606.15,33393,32344,Email marketing,1,Advertisement,Down Payment Plan,New
2019-10-10,Sale,9837746.0,,6958108,House,4,Bangalore,Agent 10,3.69,76116.01,49531,3088,Print advertising,2,Referral,Flexi Payment Plan,New
2019-12-07,Sale,18651171.0,,11112175,Condo,1,Chennai,Agent 2,3.49,86005.64,10017,41121,Digital ads,5,Social Media,Cash,Needs Repair
2020-05-12,Rent,,15111.0,4483147,House,9,Chennai,Agent 4,2.92,84100.72,44597,27667,Email marketing,5,Social Media,Down Payment Plan,Good
2019-07-17,Rent,,49308.0,11878771,Condo,9,Delhi,Agent 2,2.8,115672.46,25217,25010,Print advertising,1,Social Media,Down Payment Plan,Needs Repair
2022-12-25,Rent,,45824.0,8815325,House,8,Hyderabad,Agent 7,3.97,267899.24,34677,16477,Digital ads,2,Direct Inquiry,Flexi Payment Plan,New
2023-09-15,Rent,,43877.0,7307924,Condo,1,Hyderabad,Agent 1,4.38,246073.74,753,44584,Print advertising,4,Direct Inquiry,Down Payment Plan,New
2019-12-22,Sale,8376858.0,,11439176,House,2,Bangalore,Agent 10,4.06,218539.21,44677,35191,Digital ads,1,Advertisement,CLP,New
2021-04-08,Sale,17154534.0,,13508226,Condo,1,Chennai,Agent 2,4.24,125374.2,42007,22294,Online platforms,1,Advertisement,Down Payment Plan,Needs Repair
2019-12-13,Rent,,31728.0,5897037,House,3,Delhi,Agent 6,4.14,211401.0,19235,28493,Print advertising,5,Direct Inquiry,Down Payment Plan,Needs Repair
2020-05-06,Rent,,42314.0,8970208,Condo,9,Bangalore,Agent 3,3.89,58344.33,29736,213,Print advertising,3,Direct Inquiry,Cash,New
2021-03-29,Rent,,31955.0,4344338,Condo,2,Mumbai,Agent 4,3.41,138679.77,32807,49936,Print advertising,4,Direct Inquiry,Flexi Payment Plan,Good
2020-07-09,Rent,,46351.0,14479735,Condo,6,Hyderabad,Agent 3,3.6,249848.81,33272,6974,Digital ads,4,Social Media,Cash,New
2021-07-16,Rent,,47615.0,12470032,Condo,8,Delhi,Agent 4,4.76,192151.94,41875,33271,Email marketing,5,Advertisement,CLP,Good
2020-09-09,Rent,,36251.0,4060475,Commercial,9,Mumbai,Agent 8,4.02,244461.09,24505,49972,Print advertising,2,Advertisement,Flexi Payment Plan,New
2020-05-16,Sale,6927650.0,,5193170,Commercial,7,Chennai,Agent 6,4.2,103349.07,35349,34758,Digital ads,1,Referral,Down Payment Plan,Good
2019-01-02,Sale,5856579.0,,14000795,Apartment,2,Delhi,Agent 8,3.09,62980.28,39253,21244,Email marketing,4,Social Media,CLP,Good
2023-02-27,Sale,9663939.0,,13341985,Commercial,9,Hyderabad,Agent 5,4.01,144036.41,1277,7332,Digital ads,3,Social Media,Cash,Good
2022-02-01,Rent,,35406.0,8957140,House,3,Bangalore,Agent 6,4.08,270696.16,20154,15693,Digital ads,3,Social Media,CLP,New
2019-06-29,Rent,,42625.0,8428231,House,1,Chennai,Agent 1,3.07,267684.28,15786,37183,Email marketing,2,Referral,Cash,New
2019-09-02,Sale,15072262.0,,4977744,Apartment,3,Mumbai,Agent 2,2.81,213317.55,5614,47967,Online platforms,4,Direct Inquiry,Cash,Good
2023-02-18,Rent,,28443.0,5920076,House,5,Mumbai,Agent 7,4.93,59919.14,4536,49847,Print advertising,2,Social Media,Flexi Payment Plan,New
2023-07-14,Rent,,11524.0,11356444,Condo,8,Chennai,Agent 8,4.4,144604.72,8242,8415,Print advertising,1,Referral,Cash,Needs Repair
2023-01-16,Sale,7892075.0,,14944222,Apartment,7,Delhi,Agent 1,3.14,151487.49,36032,10822,Email marketing,5,Referral,Cash,Good
2021-04-03,Sale,10269821.0,,6654960,House,6,Bangalore,Agent 4,4.04,66096.86,34582,39754,Online platforms,2,Direct Inquiry,CLP,Good
2022-08-07,Rent,,39544.0,11823712,Apartment,2,Delhi,Agent 1,2.76,215930.37,13881,35344,Email marketing,2,Advertisement,Cash,New
2020-09-16,Rent,,37364.0,14120995,Apartment,5,Mumbai,Agent 5,3.03,283464.77,46724,20429,Digital ads,2,Direct Inquiry,Flexi Payment Plan,Good
2022-05-24,Rent,,34120.0,3741746,Apartment,8,Chennai,Agent 1,3.4,60229.35,44020,42591,Email marketing,4,Direct Inquiry,Cash,New
2022-03-06,Sale,14026032.0,,14341880,House,10,Bangalore,Agent 9,4.01,217604.22,28712,33920,Digital ads,4,Referral,Cash,Needs Repair
2022-11-03,Rent,,27517.0,3371631,Apartment,7,Mumbai,Agent 3,3.52,136146.62,7931,16247,Email marketing,3,Direct Inquiry,Flexi Payment Plan,Needs Repair
2020-11-29,Rent,,11120.0,8975050,Apartment,8,Bangalore,Agent 8,2.55,120590.38,4197,22157,Online platforms,3,Referral,Flexi Payment Plan,Needs Repair
2019-03-07,Rent,,22044.0,7401980,Apartment,7,Chennai,Agent 7,4.42,56155.48,38556,36302,Print advertising,3,Advertisement,Cash,Good
2020-12-15,Rent,,31858.0,9147920,Condo,3,Delhi,Agent 4,2.98,174531.84,38565,14433,Digital ads,4,Social Media,CLP,Good
2019-01-23,Rent,,45354.0,7188737,Apartment,6,Delhi,Agent 7,3.74,207420.12,4653,46390,Email marketing,2,Advertisement,Flexi Payment Plan,Needs Repair
2019-07-02,Sale,10163879.0,,13110187,Commercial,9,Bangalore,Agent 1,4.65,196977.13,15004,4418,Digital ads,3,Direct Inquiry,Cash,Needs Repair
2019-04-08,Sale,8810287.0,,4627226,House,8,Mumbai,Agent 4,3.28,124868.46,21655,4644,Email marketing,1,Direct Inquiry,Down Payment Plan,Needs Repair
2023-05-17,Sale,11628078.0,,3060438,Apartment,1,Mumbai,Agent 2,3.01,260965.34,15598,18251,Online platforms,1,Referral,Cash,Good
2023-02-17,Sale,11221073.0,,14037209,Commercial,1,Chennai,Agent 2,3.09,114733.11,14041,35340,Digital ads,1,Social Media,CLP,Needs Repair
2020-02-16,Sale,12562167.0,,14727088,Commercial,5,Mumbai,Agent 6,3.96,101774.73,47406,37424,Online platforms,3,Referral,Cash,Needs Repair
2023-11-26,Rent,,10283.0,5192249,Apartment,4,Hyderabad,Agent 3,3.43,53104.09,30977,15926,Digital ads,3,Referral,Cash,New
2023-01-09,Sale,10589140.0,,5692567,Apartment,3,Bangalore,Agent 5,4.11,293991.69,26678,12479,Online platforms,4,Social Media,CLP,Needs Repair
2019-10-21,Sale,19582288.0,,3715798,House,3,Chennai,Agent 6,4.98,81895.59,6353,43188,Email marketing,5,Direct Inquiry,Down Payment Plan,Good
2022-09-01,Rent,,20035.0,9178884,Condo,2,Mumbai,Agent 8,3.28,222008.67,23220,27760,Print advertising,2,Social Media,Cash,New
2022-07-01,Sale,17190593.0,,14518242,Apartment,8,Bangalore,Agent 4,3.08,210290.32,30607,47781,Online platforms,3,Referral,CLP,New
2019-06-18,Rent,,34498.0,7960407,Apartment,4,Chennai,Agent 10,4.77,68951.72,44130,42825,Online platforms,3,Social Media,CLP,Needs Repair
2019-11-02,Rent,,19274.0,13005483,House,2,Bangalore,Agent 5,4.72,95418.41,3973,26387,Email marketing,4,Direct Inquiry,Down Payment Plan,Needs Repair
2021-11-20,Rent,,34465.0,11518860,Commercial,1,Chennai,Agent 9,4.12,202513.8,7162,16296,Email marketing,1,Direct Inquiry,CLP,New
2020-08-18,Rent,,15514.0,13476537,House,3,Mumbai,Agent 8,2.92,237615.66,12466,35147,Online platforms,3,Referral,Down Payment Plan,Good
2022-10-25,Rent,,37459.0,5507601,Apartment,1,Mumbai,Agent 9,4.62,162312.31,9187,27649,Print advertising,4,Referral,Flexi Payment Plan,Good
2020-07-24,Sale,8683632.0,,9862373,Condo,8,Chennai,Agent 10,3.76,57855.53,18255,30319,Email marketing,4,Referral,Cash,Needs Repair
2021-02-15,Rent,,21865.0,3529667,Commercial,8,Delhi,Agent 7,3.97,131437.14,4941,29042,Print advertising,1,Social Media,Cash,Good
2023-09-06,Rent,,13221.0,4616136,Condo,4,Mumbai,Agent 3,4.77,63692.14,6417,3316,Online platforms,2,Social Media,CLP,New
2023-08-07,Sale,18597103.0,,3601925,Apartment,4,Chennai,Agent 2,2.65,56629.36,968,6113,Print advertising,4,Direct Inquiry,Cash,Good
2021-01-04,Sale,5185024.0,,4411161,Apartment,3,Mumbai,Agent 1,3.26,296385.69,10900,26635,Online platforms,2,Social Media,Cash,Good
2023-02-17,Rent,,40827.0,3078601,House,4,Mumbai,Agent 7,2.64,108888.06,31547,14009,Digital ads,4,Advertisement,CLP,Needs Repair
2022-05-30,Sale,5764089.0,,14162391,Apartment,6,Bangalore,Agent 7,4.41,262167.32,3843,10790,Online platforms,3,Social Media,CLP,Needs Repair
2022-03-23,Rent,,32934.0,10271826,Commercial,1,Mumbai,Agent 7,3.16,153678.62,142,25587,Online platforms,4,Social Media,Flexi Payment Plan,Needs Repair
2021-04-03,Rent,,33939.0,12445526,House,10,Mumbai,Agent 9,4.65,278189.86,29820,18695,Email marketing,1,Social Media,Down Payment Plan,Needs Repair
2022-08-07,Rent,,25036.0,3110992,Apartment,8,Hyderabad,Agent 8,4.48,162305.8,45652,47875,Digital ads,3,Referral,Cash,Needs Repair
2023-09-23,Sale,8274449.0,,6543882,Commercial,3,Bangalore,Agent 5,4.52,189715.66,43377,47082,Print advertising,4,Direct Inquiry,Down Payment Plan,New
2023-02-21,Rent,,20340.0,13893063,Apartment,10,Hyderabad,Agent 2,4.89,91984.24,10145,12446,Email marketing,4,Advertisement,CLP,Needs Repair
2021-07-10,Rent,,36063.0,3064549,Condo,1,Hyderabad,Agent 4,2.93,128715.4,14268,3833,Online platforms,3,Referral,Flexi Payment Plan,New
2023-12-05,Sale,7580595.0,,6020526,Commercial,3,Chennai,Agent 3,4.75,254282.99,48218,35534,Email marketing,2,Social Media,Down Payment Plan,Good
2019-07-09,Sale,6445272.0,,14774636,Commercial,3,Chennai,Agent 10,2.57,130628.95,49020,20553,Online platforms,1,Advertisement,Flexi Payment Plan,Good
2019-06-27,Sale,15384797.0,,8359484,Condo,5,Mumbai,Agent 1,3.15,295678.31,3287,38285,Email marketing,5,Advertisement,CLP,New
2023-01-21,Rent,,11067.0,13893392,Commercial,1,Hyderabad,Agent 8,4.85,82528.11,32955,34808,Print advertising,3,Advertisement,Cash,New
2020-05-04,Rent,,32426.0,13088475,House,4,Bangalore,Agent 4,2.67,168872.6,3728,33282,Email marketing,3,Referral,Down Payment Plan,New
2019-09-06,Rent,,45319.0,7442447,Apartment,3,Delhi,Agent 9,3.4,280062.45,12179,4491,Digital ads,2,Social Media,CLP,Good
2019-07-31,Sale,7608358.0,,12648631,Apartment,8,Hyderabad,Agent 7,3.47,108785.83,44251,15415,Online platforms,4,Social Media,Flexi Payment Plan,Good
2022-06-08,Sale,14867775.0,,11038971,Commercial,4,Delhi,Agent 4,4.5,287420.12,7857,37335,Digital ads,2,Direct Inquiry,CLP,Needs Repair
2021-02-03,Sale,15803615.0,,7303851,House,5,Hyderabad,Agent 1,4.8,185112.46,37941,38963,Email marketing,2,Referral,CLP,Good
2019-05-04,Sale,19131638.0,,10186321,House,5,Mumbai,Agent 9,2.67,226916.12,40592,5373,Online platforms,4,Social Media,Flexi Payment Plan,Needs Repair
2022-07-26,Rent,,11847.0,7400192,Commercial,8,Mumbai,Agent 10,3.67,217969.97,43082,38252,Online platforms,2,Social Media,Flexi Payment Plan,New
2023-10-23,Rent,,14012.0,4796719,House,9,Delhi,Agent 8,4.42,84873.86,34262,20734,Digital ads,1,Advertisement,Cash,New
2021-03-21,Sale,19304970.0,,14404392,House,7,Mumbai,Agent 5,4.74,148048.73,13387,43892,Print advertising,2,Direct Inquiry,Cash,New
2021-09-03,Sale,13332983.0,,4861575,Condo,3,Mumbai,Agent 5,4.54,222536.12,15643,17408,Online platforms,1,Direct Inquiry,Down Payment Plan,Needs Repair
2022-05-14,Sale,13694536.0,,5848804,House,4,Delhi,Agent 3,4.53,139478.42,8578,42304,Print advertising,4,Direct Inquiry,CLP,Needs Repair
2021-07-21,Sale,5016324.0,,14676174,Apartment,10,Delhi,Agent 9,4.17,84810.57,29965,20721,Digital ads,3,Social Media,CLP,Needs Repair
2019-08-14,Rent,,12443.0,10375882,Commercial,10,Delhi,Agent 2,4.32,134387.18,611,30035,Online platforms,4,Direct Inquiry,Cash,Good
2023-10-16,Rent,,31562.0,11946753,Commercial,5,Chennai,Agent 8,2.79,208416.2,6553,4802,Digital ads,4,Advertisement,Flexi Payment Plan,New
2023-07-29,Sale,19726284.0,,3953008,House,7,Bangalore,Agent 8,2.83,130339.74,13970,33154,Online platforms,2,Direct Inquiry,Flexi Payment Plan,Needs Repair
2021-04-03,Sale,16953074.0,,8940175,Condo,8,Delhi,Agent 4,3.83,142637.15,8681,22873,Digital ads,4,Advertisement,Cash,Good
2019-08-02,Sale,8705559.0,,13430867,Apartment,2,Mumbai,Agent 6,4.82,201567.88,16010,24218,Print advertising,5,Advertisement,CLP,New
2021-06-04,Rent,,28638.0,3536956,Commercial,1,Bangalore,Agent 1,2.63,159659.0,10339,28717,Email marketing,3,Referral,CLP,Needs Repair
2023-08-15,Sale,13846850.0,,10870784,House,5,Hyderabad,Agent 7,3.11,91552.07,46108,19826,Email marketing,2,Referral,Down Payment Plan,New
2023-07-02,Rent,,37729.0,5111354,Commercial,5,Mumbai,Agent 7,4.59,296592.7,513,43770,Email marketing,2,Referral,Cash,New
2023-09-20,Rent,,17827.0,7136460,Condo,3,Delhi,Agent 9,2.81,222710.15,19621,43476,Digital ads,4,Advertisement,Cash,Good
2019-11-18,Sale,11911699.0,,3676954,Apartment,3,Chennai,Agent 10,3.73,112503.56,8801,17333,Digital ads,1,Direct Inquiry,Cash,New
2019-12-25,Rent,,19457.0,14004833,Apartment,7,Chennai,Agent 5,3.79,264007.28,7015,48656,Digital ads,1,Direct Inquiry,Down Payment Plan,Needs Repair
2023-09-15,Rent,,24556.0,12750637,Condo,8,Mumbai,Agent 5,2.62,95224.64,10188,17849,Email marketing,4,Referral,Down Payment Plan,Needs Repair
2021-05-25,Rent,,19942.0,4840038,Condo,9,Delhi,Agent 6,4.33,62132.33,39639,13804,Print advertising,1,Social Media,Down Payment Plan,Good
2021-12-01,Rent,,30209.0,12329160,House,9,Bangalore,Agent 4,3.09,110417.43,13343,45056,Print advertising,4,Referral,Down Payment Plan,New
2021-03-31,Sale,8435179.0,,12660155,Commercial,1,Mumbai,Agent 8,3.32,107818.8,33123,32017,Online platforms,1,Advertisement,Flexi Payment Plan,New
2021-02-19,Sale,14453093.0,,11707178,House,1,Delhi,Agent 1,4.28,58141.4,3330,6049,Email marketing,2,Social Media,Cash,Good
2022-08-09,Rent,,34020.0,14124387,House,2,Delhi,Agent 5,2.69,164638.87,18133,2890,Print advertising,5,Referral,CLP,Needs Repair
2019-01-12,Sale,19981856.0,,14199185,Commercial,4,Delhi,Agent 9,3.84,230792.87,21860,8574,Digital ads,5,Direct Inquiry,Down Payment Plan,New
2021-03-24,Sale,9720177.0,,8374520,House,9,Delhi,Agent 1,3.07,203001.4,10590,48578,Digital ads,3,Direct Inquiry,Cash,New
2022-10-04,Sale,10515799.0,,3223049,House,9,Chennai,Agent 4,3.49,204931.92,36155,46247,Online platforms,3,Social Media,Cash,Good
2022-08-21,Rent,,26949.0,14394278,House,4,Mumbai,Agent 2,4.82,53567.24,36760,634,Print advertising,5,Referral,Cash,Needs Repair
2019-12-14,Rent,,35440.0,7219264,Commercial,1,Hyderabad,Agent 5,4.9,279361.28,4932,45287,Print advertising,4,Direct Inquiry,CLP,Needs Repair
2020-04-08,Sale,7148410.0,,4992854,Condo,8,Mumbai,Agent 9,4.67,96413.05,35756,2362,Print advertising,5,Referral,CLP,Good
2022-02-21,Sale,10835980.0,,13528342,Condo,1,Bangalore,Agent 5,3.06,269612.73,38176,36211,Email marketing,4,Social Media,Flexi Payment Plan,Needs Repair
2020-04-05,Sale,6521785.0,,8483764,Condo,4,Hyderabad,Agent 8,4.02,193865.58,28167,8353,Online platforms,1,Referral,Down Payment Plan,New
2019-05-10,Sale,18126873.0,,4044224,Apartment,5,Delhi,Agent 1,4.38,153568.01,20203,23898,Email marketing,1,Referral,Flexi Payment Plan,Needs Repair
2019-05-04,Sale,9491427.0,,11849143,Commercial,6,Chennai,Agent 5,3.8,81703.69,23450,13768,Online platforms,1,Direct Inquiry,CLP,New
2021-02-14,Sale,10012815.0,,5215070,Condo,2,Hyderabad,Agent 7,3.39,251659.45,43709,6737,Online platforms,1,Referral,Flexi Payment Plan,Good
2022-01-03,Rent,,35744.0,6667579,Commercial,7,Delhi,Agent 8,2.94,202339.02,36693,26633,Print advertising,4,Social Media,CLP,Good
2020-04-25,Rent,,47899.0,13405052,Condo,1,Delhi,Agent 6,3.47,70831.39,15515,10650,Online platforms,2,Direct Inquiry,Cash,New
2020-07-04,Rent,,35849.0,9992179,House,9,Bangalore,Agent 10,2.52,53747.43,27021,1625,Email marketing,1,Advertisement,Flexi Payment Plan,Good
2020-07-11,Sale,10265510.0,,4629009,Commercial,3,Chennai,Agent 4,3.4,268215.69,48272,21771,Print advertising,5,Referral,Cash,Needs Repair
2022-07-03,Rent,,44523.0,8220753,Commercial,5,Delhi,Agent 2,4.97,88057.19,43904,48173,Digital ads,4,Referral,CLP,Good
2021-02-10,Sale,16963156.0,,5901656,Commercial,4,Chennai,Agent 3,3.32,282082.0,17486,10434,Print advertising,5,Direct Inquiry,Down Payment Plan,Needs Repair
2019-12-02,Sale,6119745.0,,7613362,Commercial,6,Hyderabad,Agent 5,3.74,98555.87,25071,2538,Online platforms,1,Direct Inquiry,Down Payment Plan,Good
2023-01-02,Rent,,18025.0,5832998,Condo,4,Mumbai,Agent 10,3.96,222015.67,14578,13080,Online platforms,1,Social Media,Down Payment Plan,Good
2022-12-01,Sale,16692550.0,,5031697,House,4,Hyderabad,Agent 1,3.28,213145.75,22916,20001,Email marketing,4,Social Media,CLP,Needs Repair
2020-12-08,Rent,,14516.0,3605134,Apartment,1,Hyderabad,Agent 5,4.32,285798.85,14610,1551,Email marketing,5,Advertisement,CLP,Needs Repair
2020-08-23,Sale,18257091.0,,9435131,Apartment,6,Delhi,Agent 7,3.09,180086.18,26114,21513,Email marketing,2,Social Media,CLP,Needs Repair
2021-05-15,Sale,9284600.0,,13769338,House,9,Bangalore,Agent 5,2.86,175030.53,4550,18293,Digital ads,5,Direct Inquiry,Flexi Payment Plan,New
2021-12-26,Rent,,37279.0,4094340,Commercial,8,Chennai,Agent 9,4.51,259289.1,42041,33385,Email marketing,5,Advertisement,CLP,New
2022-05-26,Sale,19430284.0,,12345629,House,5,Bangalore,Agent 3,4.56,105844.2,44533,35142,Print advertising,1,Social Media,Down Payment Plan,New
2021-10-25,Rent,,43867.0,7114851,Apartment,10,Delhi,Agent 6,3.51,140957.33,1809,7560,Digital ads,5,Referral,Cash,Needs Repair
2021-03-22,Rent,,29966.0,5185161,House,5,Bangalore,Agent 5,2.71,265247.12,11703,38050,Digital ads,2,Direct Inquiry,Down Payment Plan,Good
2021-04-04,Sale,19647519.0,,9000757,Apartment,6,Chennai,Agent 9,2.64,207943.35,2508,7105,Email marketing,4,Social Media,Cash,New
2022-09-12,Sale,16947403.0,,14585890,Apartment,10,Delhi,Agent 9,4.43,135417.58,22655,47746,Email marketing,3,Referral,CLP,New
2021-09-01,Sale,16426324.0,,4481303,Commercial,4,Hyderabad,Agent 2,3.61,240881.37,28600,39729,Email marketing,1,Advertisement,Down Payment Plan,Good
2023-05-08,Sale,6173127.0,,13085250,Condo,8,Chennai,Agent 10,3.95,251676.33,7579,25245,Email marketing,4,Referral,Down Payment Plan,Good
2023-11-27,Sale,11376178.0,,8776697,House,6,Delhi,Agent 3,4.59,96939.76,12458,16694,Print advertising,4,Direct Inquiry,CLP,Good
2019-05-18,Sale,16702318.0,,4035200,House,5,Chennai,Agent 10,3.54,225670.11,46451,28578,Email marketing,4,Referral,Cash,New
2019-01-06,Rent,,49149.0,14472305,House,8,Hyderabad,Agent 2,3.1,209254.62,34074,35288,Print advertising,1,Direct Inquiry,Cash,Good
2020-09-04,Sale,13293772.0,,6460639,House,4,Delhi,Agent 7,3.28,195028.96,23870,28266,Email marketing,2,Advertisement,Down Payment Plan,Needs Repair
2019-08-06,Rent,,23954.0,10285234,House,9,Mumbai,Agent 8,4.67,187144.55,43532,21640,Digital ads,1,Social Media,Flexi Payment Plan,Needs Repair
